Date,strategy_returns,cumulative,regime_vol,regime_dev,regime_hl,regime_coint,regime_hurst,regime_joint,half_life,hurst
2022-03-14,,,,,,,,,,
2022-03-15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-16,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-17,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-18,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-21,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-22,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-23,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-24,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-28,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-29,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-03-31,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-01,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-04,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-05,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-06,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-07,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-08,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-12,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-13,-0.0031015529233357833,0.9968984470766642,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-14,-0.006200894334164013,0.9907167851444496,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-18,0.006590872899157645,0.9972464735543988,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-19,-0.005838949894973877,0.9914236013623752,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-20,-0.00965555188480411,0.9818508593396014,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-21,-0.00476172378358321,0.9771755567507524,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-22,0.010336381220020101,0.9872760158242135,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-25,-0.0080755667586708,0.9793032024491906,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-26,0.012811693655931693,0.9918497350752424,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-27,-0.005419835956668378,0.9864740722174696,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-28,-0.005508546705708441,0.9810400337166894,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-04-29,0.01504414950253802,0.9957989466518982,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-02,0.011884108854258911,1.0076331297308658,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-03,0.006045540659586808,1.0137248167866004,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-04,-0.0214578653335218,0.9919724461827445,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-05,0.0025955783866881453,0.9945471884242467,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-06,-0.0035334556008186128,0.9910330000910307,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-09,0.004056182220673159,0.9950528105261002,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-10,0.008955625371705495,1.0039641307222347,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-11,-0.0059962375822128775,0.9979441232704043,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-12,-0.003522365250457434,0.9944289995686983,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-13,-0.013484737869907172,0.9810193851792803,0.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-16,-0.0009260817053855846,0.9801108810740372,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-17,0.0011716213266567018,0.9812591998847917,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-18,0.05285949866266197,1.0331280692488267,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-19,0.015556987330103425,1.0492004295325048,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-20,-0.014638042795241236,1.0338421887442224,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-23,-0.025174714034895976,1.0078155072853756,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-24,-0.014826228494869219,0.9928734042936901,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-25,0.0010731736476787804,0.9939389298666592,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-26,-0.0017642359844034401,0.992185387040289,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-27,-0.0032693284087302915,0.9889416071677112,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-05-31,0.013766221615456231,1.0025555964967272,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-06-01,0.002858864942287503,1.0054217675442458,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-06-02,-0.008271765833661487,0.9971051541190538,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-06-03,0.008954531787523751,1.0060337639171166,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-06-06,0.0027208190094934847,1.0087709997061745,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-06-07,-0.00437700886500424,1.0043556000977014,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-06-08,0.004343149482783599,1.0087176666027966,1.0,1.0,0.0,0.0,0.0,0.0,,
2022-06-09,0.012515495552125054,1.0213422680725137,1.0,1.0,1.0,0.0,1.0,1.0,5.132647023435411,0.2291537937763001
2022-06-10,0.00587842929666883,1.0273461563830775,1.0,1.0,1.0,0.0,1.0,1.0,5.162248459108807,0.2364223480901593
2022-06-13,-0.0034888771057207495,1.0237618718984223,1.0,1.0,0.0,0.0,1.0,0.0,4.6769080334921025,0.24490128990364757
2022-06-14,0.021290327575831117,1.0455580975107859,1.0,1.0,0.0,1.0,1.0,0.0,4.827975064807534,0.2514350076654152
2022-06-15,-0.004534387936658787,1.040817131486357,1.0,1.0,0.0,1.0,1.0,0.0,4.023271542501503,0.2552300501213269
2022-06-16,0.008752005775012738,1.0499263690318579,1.0,1.0,0.0,1.0,1.0,0.0,4.244359162190733,0.25709311781817
2022-06-17,-0.006042989837070248,1.0435816746541262,1.0,1.0,0.0,1.0,1.0,0.0,3.9367933226880405,0.257849644061893
2022-06-21,-0.015081138406508715,1.0278432749801711,1.0,1.0,0.0,1.0,1.0,0.0,3.7636537627213955,0.2584517569504446
2022-06-22,-0.005191008092815538,1.022507732221603,1.0,1.0,0.0,1.0,1.0,0.0,3.676854110285447,0.2562136185648028
2022-06-23,-0.008480943486791475,1.0138359019298242,1.0,1.0,0.0,1.0,1.0,0.0,3.685709808393256,0.24650942751289165
2022-06-24,-0.015398869001014892,0.998223975687481,1.0,1.0,0.0,1.0,1.0,0.0,3.7297368593589537,0.2361494903735984
2022-06-27,0.002420743727721445,1.0006404201154877,1.0,1.0,0.0,1.0,1.0,0.0,3.463008050949322,0.22404039072367754
2022-06-28,0.006207932398987861,1.0068523281992594,1.0,1.0,0.0,1.0,1.0,0.0,3.3215453252319604,0.19024611101811212
2022-06-29,-0.002737923164544814,1.0040956438866069,1.0,1.0,0.0,1.0,1.0,0.0,3.1257685390127103,0.1630974163858808
2022-06-30,-0.002982969058127662,1.0011004576494924,1.0,1.0,0.0,1.0,1.0,0.0,3.1091412027925935,0.1347301821602279
2022-07-01,-0.018934142413675525,0.9821454790139612,1.0,1.0,0.0,1.0,1.0,0.0,2.885287124501827,0.11416918733026428
2022-07-05,0.01647896791647005,0.9983302228519384,1.0,1.0,0.0,1.0,1.0,0.0,2.665476952168944,0.08873973278455259
2022-07-06,0.0006512298176563455,0.9989803652609272,1.0,1.0,0.0,1.0,1.0,0.0,2.4261272487590433,0.07115810716443438
2022-07-07,0.007346346233668909,1.0063192209047709,1.0,1.0,0.0,1.0,1.0,0.0,2.12549895422163,0.04611584201849075
2022-07-08,-0.0012417320022830285,1.005069642123661,1.0,1.0,0.0,1.0,1.0,0.0,2.097266118290417,0.018245431493696316
2022-07-11,0.0009476797596770525,1.0060221262805673,1.0,1.0,0.0,1.0,1.0,0.0,2.153435880700623,-0.008348282531459505
2022-07-12,0.002750187494934004,1.008788875751891,1.0,1.0,0.0,1.0,1.0,0.0,2.4408854309387484,-0.02898807692507026
2022-07-13,0.005585058030747427,1.0144230201637379,1.0,1.0,0.0,1.0,1.0,0.0,2.5282654381586367,-0.032625703563954146
2022-07-14,0.004606173852201797,1.0190956289542876,1.0,1.0,0.0,1.0,1.0,0.0,2.6315355437164856,-0.033504014251330205
2022-07-15,-0.004924786947970486,1.0140768001020797,1.0,1.0,0.0,1.0,1.0,0.0,2.9545535289407017,-0.0334485371929889
2022-07-18,0.009077593497439218,1.0232821770685903,1.0,1.0,0.0,1.0,1.0,0.0,3.5617122443833362,-0.026782057999446628
2022-07-19,-0.01137959853651816,1.0116376367039754,1.0,1.0,0.0,1.0,1.0,0.0,3.486392808799241,-0.017731906961166916
2022-07-20,0.013608054373387087,1.0254040566704081,1.0,1.0,0.0,1.0,1.0,0.0,3.5237416086401643,-0.005191880778210777
2022-07-21,0.002678516720309693,1.0281506185812732,1.0,1.0,0.0,1.0,1.0,0.0,3.374277435901056,-0.0051247797680588165
2022-07-22,-0.0019820270847169617,1.0261127962080767,1.0,1.0,0.0,0.0,1.0,0.0,3.5406461908041638,0.0030590167873155477
2022-07-25,-0.009359010518472157,1.0165093957552265,1.0,1.0,0.0,0.0,1.0,0.0,4.593234798645196,0.016137237122340883
2022-07-26,-0.013246865505243361,1.0030438325048407,1.0,1.0,0.0,0.0,1.0,0.0,4.974752123114827,0.04753770124616127
2022-07-27,0.002786129410403528,1.0058384424265063,1.0,1.0,0.0,0.0,1.0,0.0,4.423695220776968,0.05332761047583177
2022-07-28,-0.011538806208139508,0.9942322675626499,1.0,1.0,0.0,0.0,1.0,0.0,4.09590029128961,0.04207852079726903
2022-07-29,-0.001531445017442005,0.9927096555103111,1.0,1.0,0.0,0.0,1.0,0.0,4.19024775265189,0.03717295523818278
2022-08-01,-0.0023766780195971426,0.9903503042922178,1.0,1.0,0.0,0.0,1.0,0.0,4.272699677205757,0.030167439631612624
2022-08-02,0.011406462442101892,1.0016466978426513,1.0,1.0,0.0,0.0,1.0,0.0,4.232735616516113,0.023421021260407668
2022-08-03,-0.002333409038854593,0.9993094463841664,1.0,1.0,0.0,0.0,1.0,0.0,4.125969706138114,0.019536206625479332
2022-08-04,0.0024421952180196495,1.0017499551354476,1.0,1.0,0.0,0.0,1.0,0.0,4.102760853167311,0.016313477976647086
2022-08-05,0.0025236258396089725,1.0042779972070546,1.0,1.0,0.0,0.0,1.0,0.0,4.499827959701134,0.017869440451109015
2022-08-08,0.005383821037350468,1.009684850215766,1.0,1.0,0.0,0.0,1.0,0.0,4.90627339242117,0.016559314279106955
2022-08-09,-0.0002587282093155956,1.0094236162624965,1.0,1.0,0.0,0.0,1.0,0.0,4.832979225490585,0.015178039340922801
2022-08-10,-0.007283422156050392,1.0020715579309698,1.0,1.0,0.0,0.0,1.0,0.0,4.833175909861231,0.02013676827337967
2022-08-11,0.005371557477806331,1.007454242901271,1.0,1.0,0.0,0.0,1.0,0.0,4.576469391183856,0.02925912448735171
2022-08-12,-0.004052472989563686,1.0033715617936922,1.0,1.0,0.0,0.0,1.0,0.0,4.467547971797786,0.048610655395256705
2022-08-15,-0.009583427395796838,0.993755823280235,1.0,1.0,0.0,0.0,1.0,0.0,4.373644523091231,0.0739931869166544
2022-08-16,-0.006647215879497122,0.987150113791384,0.0,1.0,1.0,0.0,1.0,1.0,7.357469152189319,0.1030131421129924
2022-08-17,0.0021563835059661123,0.9892787880146763,0.0,1.0,1.0,0.0,1.0,1.0,6.727489324184792,0.10966004443260526
2022-08-18,-0.00497026784008105,0.9843618074697326,0.0,1.0,1.0,0.0,1.0,1.0,7.326118401832594,0.15081509649561003
2022-08-19,0.0004219102235172145,0.984777119779944,0.0,1.0,1.0,0.0,1.0,1.0,7.652182693606231,0.18842576628428223
2022-08-22,0.012300918348063839,0.9968907827213985,0.0,1.0,1.0,0.0,1.0,1.0,6.157794520204025,0.19174481949412006
2022-08-23,-0.0012116491313296435,0.9956829008704836,0.0,1.0,1.0,0.0,1.0,1.0,6.286904257617711,0.18166839794432865
2022-08-24,-5.027229481608547e-05,0.9956328456061476,0.0,1.0,1.0,0.0,1.0,1.0,6.4459316175121915,0.17557179380452745
2022-08-25,-0.004801587707240638,0.9908522271737602,0.0,1.0,1.0,0.0,1.0,1.0,6.16892637630609,0.17072779123913837
2022-08-26,0.017737787699947695,1.0084277536213886,0.0,1.0,1.0,0.0,1.0,1.0,6.5545101453483445,0.1666095403508289
2022-08-29,0.005170902600967792,1.0136422353154777,0.0,1.0,1.0,0.0,1.0,1.0,5.876652723908073,0.16482350572111756
2022-08-30,0.006920021128699677,1.0206566610008032,0.0,1.0,1.0,0.0,1.0,1.0,5.499079614626284,0.16102229256521394
2022-08-31,0.005953317041009315,1.026732953693759,0.0,1.0,1.0,0.0,1.0,1.0,6.061583442323085,0.15952115339034798
2022-09-01,-0.0019638087372878007,1.0247166465484339,0.0,0.0,1.0,0.0,1.0,1.0,6.934452850622104,0.14886016044716335
2022-09-02,0.01028136846591432,1.0352521359647542,0.0,0.0,1.0,0.0,1.0,1.0,7.390409260028137,0.13304315196316474
2022-09-06,-0.002314185285282419,1.0328563707051475,0.0,0.0,1.0,0.0,1.0,1.0,8.48620033129127,0.12717858781955155
2022-09-07,-0.01249970031708248,1.0199459756007436,0.0,0.0,1.0,0.0,1.0,1.0,11.557476136320224,0.12417479279808907
2022-09-08,0.0021433870120119137,1.0221321145578002,0.0,0.0,1.0,0.0,1.0,1.0,10.112141999500668,0.11732821621435625
2022-09-09,-0.002357739411358039,1.0197221933876925,0.0,0.0,1.0,0.0,1.0,1.0,8.586811234684784,0.1008871823461583
2022-09-12,-0.0018260256264165755,1.0178601545307409,0.0,0.0,1.0,0.0,1.0,1.0,11.668018437033453,0.10796011960522162
2022-09-13,0.022381610825186644,1.0406415043839123,0.0,0.0,1.0,0.0,1.0,1.0,11.479899569708746,0.10310742917907526
2022-09-14,-0.003239021080327977,1.0372708446141485,0.0,0.0,1.0,0.0,1.0,1.0,12.798129425769837,0.10238823748006017
2022-09-15,0.009095700264721323,1.0467055493100932,0.0,0.0,1.0,0.0,1.0,1.0,14.646411357741021,0.11886769878122333
2022-09-16,0.001610110532576772,1.0483908609395438,0.0,0.0,1.0,0.0,1.0,1.0,13.756109090941104,0.137585066096176
2022-09-19,-0.004705815081964198,1.043457327414341,0.0,0.0,1.0,0.0,1.0,1.0,13.601133567632411,0.15610959644138958
2022-09-20,0.0018048538216002665,1.0453406153594016,0.0,0.0,1.0,0.0,1.0,1.0,14.595888170806138,0.1788867418204894
2022-09-21,0.007578419429368264,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,10.561115641503779,0.1874509350679527
2022-09-22,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,11.777011290495542,0.167020637880754
2022-09-23,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,13.876175321580902,0.1597509793829872
2022-09-26,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,19.535338767686202,0.15779910588236193
2022-09-27,-0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,38.54210908609668,0.17555595281891873
2022-09-28,0.0,1.053262644989149,0.0,0.0,1.0,0.0,1.0,1.0,46.632879067398726,0.1844610254703461
2022-09-29,-0.0,1.053262644989149,0.0,0.0,0.0,0.0,1.0,0.0,,0.22163867463270975
2022-09-30,-0.0,1.053262644989149,0.0,0.0,0.0,0.0,1.0,0.0,,0.26349303263974927
2022-10-03,0.0,1.053262644989149,0.0,0.0,0.0,0.0,1.0,0.0,,0.303943710080871
2022-10-04,-0.0,1.053262644989149,0.0,0.0,0.0,0.0,1.0,0.0,,0.32554607615916903
2022-10-05,-0.0,1.053262644989149,0.0,0.0,0.0,0.0,1.0,0.0,,0.34022546141798826
2022-10-06,-0.0,1.053262644989149,0.0,0.0,0.0,0.0,1.0,0.0,,0.36994098017980437
2022-10-07,-0.0,1.053262644989149,0.0,0.0,0.0,0.0,1.0,0.0,,0.4022258014909691
2022-10-10,-0.0,1.053262644989149,0.0,1.0,0.0,0.0,1.0,0.0,,0.42610905085760165
2022-10-11,0.0,1.053262644989149,0.0,1.0,0.0,0.0,1.0,0.0,,0.445753160394301
2022-10-12,0.0,1.053262644989149,0.0,1.0,0.0,0.0,0.0,0.0,,0.4647112434235545
2022-10-13,0.0,1.053262644989149,0.0,1.0,0.0,0.0,0.0,0.0,,0.4789940285497851
2022-10-14,-0.0,1.053262644989149,0.0,1.0,0.0,0.0,0.0,0.0,,0.4931804938350095
2022-10-17,0.0,1.053262644989149,1.0,1.0,0.0,0.0,0.0,0.0,,0.487598164670298
2022-10-18,0.0,1.053262644989149,1.0,1.0,0.0,0.0,0.0,0.0,,0.5034059951286758
2022-10-19,-0.0,1.053262644989149,1.0,1.0,0.0,0.0,0.0,0.0,,0.5230916500053339
2022-10-20,-0.0,1.053262644989149,0.0,1.0,0.0,0.0,0.0,0.0,,0.5248803913382198
2022-10-21,0.0,1.053262644989149,0.0,1.0,0.0,0.0,0.0,0.0,,0.5205159377106064
2022-10-24,0.0,1.053262644989149,1.0,1.0,0.0,0.0,0.0,0.0,,0.5177343378846353
2022-10-25,0.0,1.053262644989149,1.0,1.0,0.0,0.0,0.0,0.0,,0.5058405041299857
2022-10-26,0.0,1.053262644989149,1.0,1.0,0.0,0.0,0.0,0.0,,0.48294074169670936
2022-10-27,0.0,1.053262644989149,1.0,0.0,0.0,0.0,1.0,0.0,81.75485020882776,0.4228610448157322
2022-10-28,0.0,1.053262644989149,1.0,0.0,0.0,0.0,1.0,0.0,64.45422494263829,0.37216033514938834
2022-10-31,-0.0,1.053262644989149,1.0,0.0,1.0,0.0,1.0,1.0,52.80459100843813,0.3471424543607317
2022-11-01,-0.0,1.053262644989149,1.0,1.0,1.0,0.0,1.0,1.0,41.875753388602895,0.3423927796883019
2022-11-02,-0.0,1.053262644989149,1.0,1.0,1.0,0.0,1.0,1.0,54.64202505548309,0.3492607448947758
